Name,State,District,Latitude,Longitude
Klinik Kesihatan 60,Kelantan,Kota Kinabalu,1.910525,110.903924
Klinik Rakyat 96,Penang,Petaling,2.828998,114.888258
Klinik Komuniti 53,Sarawak,Kota Kinabalu,5.910142,116.814642
Klinik 1Malaysia 97,Kelantan,Kuantan,1.666739,112.020141
Klinik Komuniti 76,Sabah,Kuantan,3.744771,107.690228
Klinik 1Malaysia 8,Kuala Lumpur,Hulu Langat,6.513373,115.310665
Klinik Rakyat 82,Johor,Kuantan,4.012144,110.594779
Klinik Desa 65,Terengganu,Klang,2.620094,102.596871
Klinik Komuniti 91,Johor,Seberang Perai,3.033811,111.415718
Klinik Komuniti 86,Kuala Lumpur,Kota Kinabalu,5.580037,106.472093
Klinik Rakyat 90,Perak,Gombak,4.486963,108.818305
Klinik Kesihatan 11,Johor,Kuching,3.420198,117.366846
Klinik Komuniti 50,Penang,Petaling,5.440282,105.854291
Klinik Rakyat 69,Johor,Kuching,4.692136,115.661228
Klinik 1Malaysia 98,Perak,Hulu Langat,1.800462,102.353403
Klinik Kesihatan 20,Terengganu,Kinta,7.462082,111.879887
Klinik Rakyat 9,Penang,Klang,2.47416,114.092246
Klinik 1Malaysia 57,Sabah,Kinta,2.823695,101.904395
Klinik Rakyat 59,Perak,Seberang Perai,6.777464,112.753705
Klinik Desa 91,Penang,Petaling,2.448345,112.233002
Klinik 1Malaysia 69,Kelantan,Petaling,2.108055,109.470868
Klinik Kesihatan 34,Sabah,Seberang Perai,2.113393,109.564349
Klinik 1Malaysia 89,Sarawak,Muar,4.594816,101.745426
Klinik 1Malaysia 87,Kelantan,Kinta,2.686663,108.704651
Klinik Komuniti 15,Pahang,Muar,5.573743,107.339115
Klinik Komuniti 41,Kelantan,Kuantan,3.63231,109.434787
Klinik Desa 48,Kuala Lumpur,Kuching,6.50612,112.42776
Klinik 1Malaysia 76,Kuala Lumpur,Hulu Langat,7.452666,109.025782
Klinik Rakyat 85,Pahang,Kinta,4.551845,109.009381
Klinik Kesihatan 58,Kuala Lumpur,Kuantan,4.784123,103.922857
Klinik Komuniti 82,Perak,Klang,3.552496,112.070313
Klinik 1Malaysia 34,Pahang,Petaling,3.00508,115.843116
Klinik 1Malaysia 82,Sarawak,Muar,2.267656,103.701224
Klinik Desa 66,Johor,Kuching,4.674691,109.088535
Klinik Desa 100,Sarawak,Kuching,2.433419,110.092745
Klinik Kesihatan 41,Kelantan,Gombak,2.702824,111.948154
Klinik Desa 73,Sabah,Kinta,3.67353,109.968715
Klinik Desa 64,Sarawak,Hulu Langat,1.764591,112.04742
Klinik Desa 13,Perak,Seberang Perai,2.759808,102.197984
Klinik Rakyat 35,Johor,Gombak,1.502885,101.950824
Klinik Komuniti 41,Johor,Kinta,4.033926,117.285343
Klinik 1Malaysia 5,Kelantan,Kuching,2.632761,102.901684
Klinik Desa 27,Perak,Klang,2.190218,103.381315
Klinik 1Malaysia 96,Sabah,Klang,5.235904,112.613847
Klinik Kesihatan 87,Terengganu,Kuching,2.803542,103.641426
Klinik Desa 60,Selangor,Gombak,6.02941,104.799975
Klinik Kesihatan 79,Penang,Kuching,1.343978,113.631413
Klinik Rakyat 13,Pahang,Kota Kinabalu,6.676017,100.388982
Klinik Komuniti 60,Kelantan,Gombak,5.845417,118.205686
Klinik Desa 22,Kuala Lumpur,Kota Kinabalu,1.939806,106.294898
