Location,Latitude,Longitude,Coast_Type,Beach_Length_km,Avg_Tide_Range_m,Primary_Material
Pantai Cenang,6.2936,99.7289,Sandy,5.2,2.1,Fine Sand
Tanjung Rhu,6.4333,99.8,Sandy,3.8,2.3,Fine Sand 
Port Dickson,2.5228,101.7969,Sandy,18,1.8,Medium Sand
Desaru Coast,1.5667,104.2667,Sandy,12.5,2,Fine Sand
Cherating,4.1333,103.4,Sandy,8.2,2.2,Fine Sand
Batu Ferringhi,5.4736,100.2458,Sandy,3.5,1.9,Medium Sand
Teluk Batik,4.0833,100.7833,Sandy,2.8,1.7,Fine Sand
Pantai Remis,4.45,100.6333,Muddy,NA,3.2,Silt
Kuala Selangor,3.35,101.25,Muddy,NA,3.5,Clay
Bagan Datuk,3.9833,100.7833,Muddy,NA,3,Silt
Kuala Perlis,6.4,100.1333,Muddy,NA,2.8,Clay
Kuala Terengganu,5.3296,103.137,Sandy,6.5,2.4,Fine Sand
Marang,5.2167,103.2,Sandy,4.2,2.3,Fine Sand
Kuantan,3.8167,103.3333,Sandy,9.8,2.1,Medium Sand
Mersing,2.4312,103.8405,Rocky,NA,1.9,Granite
Tanjung Piai,1.2667,103.5167,Muddy,NA,3.6,Peat
Tanjung Dawai,5.6667,100.3833,Muddy,NA,2.9,Clay
Pulau Kapas,5.2167,103.2667,Sandy,2.1,2,Fine Sand
Pulau Redang,5.7833,103,Sandy,3.8,2.1,Coral Sand
Pulau Perhentian,5.9167,102.7333,Sandy,4.5,2.2,Coral Sand
Pulau Tioman,2.8186,104.16,Rocky-Sandy,7.2,1.8,Volcanic Sand
Pulau Pangkor,4.2167,100.55,Sandy,5.5,1.9,Medium Sand
Pulau Langkawi,6.35,99.8,Sandy,12,2.2,Fine Sand
Semporna,4.4818,118.6112,Rocky,NA,1.7,Limestone
Kudat,6.8843,116.8476,Sandy,8.5,1.8,Coral Sand
