Name,State,District,Latitude,Longitude
Balai Bomba 77,Terengganu,Kuching,4.305621,106.178058
Balai Bomba 77,Kuala Lumpur,Seberang Perai,4.833708,109.966077
Balai Bomba 37,Sarawak,Petaling,3.72965,117.282577
Bomba Sukarela 10,Sarawak,Muar,1.709128,112.167771
Balai Bomba 59,Perak,Kuantan,5.630447,100.582506
Bomba Sukarela 35,Selangor,Klang,5.166009,105.256618
Stesen Bomba 84,Terengganu,Kinta,2.143416,102.837035
Bomba Sukarela 4,Kelantan,Hulu Langat,3.602259,111.993105
Stesen Bomba 4,Sabah,Klang,3.92198,114.220327
Stesen Bomba 59,Perak,Seberang Perai,3.824689,100.675141
Bomba Sukarela 31,Terengganu,Klang,2.010024,110.260059
Balai Bomba 23,Johor,Hulu Langat,6.12534,116.806579
Bomba Sukarela 7,Sabah,Kuantan,2.633147,111.365421
Stesen Bomba 81,Johor,Muar,4.107922,105.318658
Unit Bomba 40,Terengganu,Kuching,1.501079,102.549062
Unit Bomba 29,Perak,Kota Kinabalu,7.076349,110.831263
Unit Bomba 20,Pahang,Klang,3.325408,110.376203
Balai Bomba 32,Johor,Muar,5.926871,116.233372
Stesen Bomba 69,Sarawak,Kinta,6.586288,101.997605
Balai Bomba 9,Kelantan,Hulu Langat,4.502545,104.157656
Bomba Sukarela 17,Pahang,Muar,1.475044,113.35902
Balai Bomba 57,Sabah,Kuantan,4.760423,106.627724
Unit Bomba 86,Johor,Kuantan,6.708505,105.740239
Balai Bomba 49,Kelantan,Kota Kinabalu,1.739704,103.333191
Bomba Sukarela 51,Sarawak,Muar,4.331641,111.882925
Balai Bomba 69,Terengganu,Gombak,5.003807,109.217514
Unit Bomba 54,Kelantan,Klang,4.74117,110.277914
Unit Bomba 92,Kuala Lumpur,Kota Kinabalu,3.652972,115.024589
Balai Bomba 39,Johor,Kuching,1.323901,101.69141
Bomba Sukarela 67,Selangor,Kota Kinabalu,2.713222,114.24731
Unit Bomba 9,Kelantan,Petaling,1.959477,109.773099
Bomba Sukarela 51,Penang,Kuantan,4.577341,107.597742
Stesen Bomba 98,Sabah,Seberang Perai,6.656741,112.669384
Bomba Sukarela 48,Sarawak,Kuching,5.300595,113.147429
Unit Bomba 8,Perak,Hulu Langat,6.902293,103.627002
Unit Bomba 65,Kelantan,Klang,4.567446,106.887816
Bomba Sukarela 29,Terengganu,Klang,5.072854,110.4779
Unit Bomba 63,Sabah,Hulu Langat,2.3704,110.237352
Balai Bomba 15,Selangor,Petaling,4.083975,110.469858
Unit Bomba 51,Sabah,Muar,3.062791,109.559562
Stesen Bomba 17,Sarawak,Klang,2.33284,116.676073
Bomba Sukarela 23,Selangor,Kinta,1.70906,110.246213
Unit Bomba 34,Sarawak,Gombak,6.968026,114.228149
Balai Bomba 100,Kelantan,Kuantan,4.002905,109.597994
Bomba Sukarela 99,Penang,Kinta,1.036,111.585317
Unit Bomba 57,Penang,Kuantan,6.463198,105.887285
Balai Bomba 53,Kelantan,Seberang Perai,1.781966,118.889723
Bomba Sukarela 35,Perak,Klang,4.106939,108.246954
Unit Bomba 33,Perak,Klang,6.587597,115.196089
Stesen Bomba 16,Sarawak,Seberang Perai,6.400861,107.687151
