Location,Latitude,Longitude,Depth_cm,Organic_Content_pct,Drainage,Land_Use
North Selangor Peat Swamp,3.5,101.25,300,95,Poor,Oil Palm
South Pahang Peatlands,3,103.3333,450,98,Very Poor,Forest Reserve
Sarawak Coastal Peat,2.5,111.5,600,97,Poor,Agriculture
Perak Peat Dome,4.0833,100.75,350,96,Poor,Oil Palm
Johor Peat Swamp,1.8333,103.5,400,95,Very Poor,Acacia Plantation
Tasek Bera Wetlands,3.4167,102.5833,500,99,Very Poor,Ramsar Site
Kuala Langat Peat,2.8333,101.5,380,97,Poor,Conservation
Kinta Valley Peat,4.5833,101.0833,320,95,Poor,Agriculture
Sedili Peat Swamp,1.9333,104.1333,420,96,Very Poor,Forest
Rajang Delta Peat,2.1333,111.2167,550,98,Poor,Sago Palm
Baram Peat Dome,4,114,480,97,Very Poor,Logging
Mukah Peatlands,2.9167,112.0833,510,98,Poor,Agriculture
Kuala Baram Peat,4.5833,113.9833,430,96,Very Poor,Development
Sibu Peat Basin,2.3,111.8167,470,97,Poor,Oil Palm
Kapit Peat Forest,2,112.9333,520,98,Very Poor,Conservation
Belaga Peat Swamp,2.75,113.75,490,97,Poor,Logging
Miri Peatlands,4.3333,113.9833,410,96,Poor,Agriculture
Bintulu Peat Dome,3.1667,113.0333,440,97,Very Poor,Palm Oil
Limbang Peat Swamp,4.75,115,380,95,Poor,Forest
Lawas Peatlands,4.9167,115.4167,360,96,Very Poor,Agriculture
Kota Samarahan Peat,1.4667,110.5,400,97,Poor,Development
Sri Aman Peat,1.25,111.4667,420,96,Very Poor,Forest
Betong Peat Swamp,1.4167,111.5333,450,97,Poor,Agriculture
Sarikei Peatlands,2.1167,111.5167,470,98,Very Poor,Oil Palm
Maradong Peat,2.1667,111.6333,430,96,Poor,Logging
