Name,State,District,Latitude,Longitude
Hospital Pulau Pinang 96,Terengganu,Kuantan,5.424963,104.472845
Hospital Sungai Buloh 83,Kelantan,Gombak,5.43417,103.326129
Hospital Pulau Pinang 62,Penang,Hulu Langat,1.08865,116.620774
Hospital Serdang 54,Pahang,Kuantan,6.112325,115.496375
Hospital Kuala Lumpur 18,Johor,Petaling,2.640081,113.738848
Hospital Serdang 77,Terengganu,Kuantan,1.222515,101.729744
Hospital Kuala Lumpur 69,Kuala Lumpur,Gombak,4.347216,103.979842
Hospital Pulau Pinang 19,Pahang,Kuantan,3.213737,107.330063
Hospital Serdang 28,Terengganu,Gombak,1.706622,108.694176
Hospital Ampang 9,Kuala Lumpur,Klang,2.010803,102.889936
Hospital Pulau Pinang 16,Terengganu,Kuching,7.234677,114.488443
Hospital Ampang 30,Terengganu,Muar,5.706758,115.61822
Hospital Pulau Pinang 20,Selangor,Muar,3.976316,103.075557
Hospital Ampang 28,Sarawak,Hulu Langat,2.057281,102.268743
Hospital Serdang 52,Terengganu,Petaling,6.334316,113.305277
Hospital Pulau Pinang 61,Terengganu,Kuching,7.232991,110.493701
Hospital Ampang 24,Selangor,Gombak,1.196474,101.593465
Hospital Sungai Buloh 59,Johor,Kuching,4.176489,101.108723
Hospital Ampang 79,Kelantan,Petaling,1.48544,100.898179
Hospital Pulau Pinang 8,Sabah,Petaling,6.764713,116.769028
Hospital Kuala Lumpur 2,Johor,Petaling,1.605805,110.376365
Hospital Ampang 7,Perak,Kuching,2.390161,115.288063
Hospital Serdang 30,Pahang,Kuching,7.276297,108.814246
Hospital Pulau Pinang 79,Pahang,Kuching,5.227345,104.221254
Hospital Sungai Buloh 90,Terengganu,Kuantan,1.154809,103.480711
Hospital Pulau Pinang 67,Sabah,Hulu Langat,6.435506,116.950133
Hospital Kuala Lumpur 11,Sarawak,Kota Kinabalu,2.889277,112.963467
Hospital Sungai Buloh 43,Penang,Klang,5.195345,101.140505
Hospital Serdang 21,Sarawak,Kinta,5.837477,113.289563
Hospital Pulau Pinang 56,Johor,Kuantan,6.672313,115.506783
Hospital Pulau Pinang 30,Penang,Hulu Langat,7.165496,111.550153
Hospital Sungai Buloh 75,Terengganu,Kuantan,7.322165,109.804862
Hospital Sungai Buloh 53,Perak,Hulu Langat,4.661821,117.515224
Hospital Pulau Pinang 36,Kelantan,Hulu Langat,4.013021,111.680761
Hospital Serdang 73,Sarawak,Petaling,4.95579,116.739228
Hospital Kuala Lumpur 13,Kelantan,Petaling,2.941926,117.283751
Hospital Serdang 56,Kelantan,Kota Kinabalu,4.427463,108.939341
Hospital Sungai Buloh 41,Penang,Kuching,4.929767,113.802337
Hospital Sungai Buloh 20,Penang,Kinta,3.862851,106.561669
Hospital Pulau Pinang 52,Johor,Kuching,3.524627,104.774959
Hospital Ampang 63,Penang,Seberang Perai,7.198557,112.152229
Hospital Kuala Lumpur 27,Pahang,Petaling,6.645224,117.408274
Hospital Serdang 46,Selangor,Kota Kinabalu,2.250867,105.49486
Hospital Pulau Pinang 58,Penang,Kuantan,7.359792,116.026372
Hospital Kuala Lumpur 53,Perak,Kota Kinabalu,4.294915,101.77441
Hospital Pulau Pinang 13,Johor,Seberang Perai,2.087631,101.91664
Hospital Ampang 54,Kuala Lumpur,Klang,3.155482,113.863573
Hospital Ampang 52,Johor,Hulu Langat,2.704146,114.20661
Hospital Serdang 32,Selangor,Kota Kinabalu,3.964098,117.300336
Hospital Pulau Pinang 39,Kuala Lumpur,Kinta,2.569862,117.481116
