Location,Latitude,Longitude,Mean_RH_pct,Min_RH_pct,Max_RH_pct,Dew_Point_C
Kuala Lumpur,3.139,101.6869,82,65,95,23.8
Penang Island,5.4141,100.3288,83,67,96,24.1
Langkawi,6.35,99.8,84,68,97,24.5
Kota Bharu,6.1256,102.2437,85,70,98,24.7
Kuantan,3.8167,103.3333,84,69,97,24.3
Johor Bahru,1.4854,103.7618,83,66,96,23.9
Kota Kinabalu,5.9804,116.0735,84,68,97,24.2
Kuching,1.5397,110.3549,86,71,98,24.4
Miri,4.3995,113.9914,85,70,98,24.3
Sandakan,5.8394,118.1173,86,72,98,24.6
Tawau,4.2495,117.8878,85,71,97,24.2
Labuan,5.2767,115.2417,85,70,97,24.4
Kuala Terengganu,5.3296,103.137,85,69,97,24.5
Cameron Highlands,4.4683,101.3767,88,75,99,16.2
Genting Highlands,3.425,101.7933,87,74,98,19.5
Ipoh,4.5975,101.0901,82,65,95,23.5
Malacca,2.1896,102.2501,83,66,96,23.9
Alor Setar,6.1213,100.3678,84,68,97,24.3
Taiping,4.85,100.7333,85,70,98,24
Seremban,2.7297,101.9381,82,65,95,23.7
