Location,Latitude,Longitude,Shore_Type,Slope_Degrees,Erosion_Rate_mm_yr,Vegetation_Cover
Tanjung Bungah,5.4667,100.2833,Cliff,25,120,Mangrove
Batu Maung,5.2833,100.2833,Rocky,15,80,Casuarina
Tanjung Karang,3.4167,101.1833,Mudflat,2,150,Mangrove
Sungai Besar,3.6667,100.9833,Mudflat,1,200,Mangrove
Kuala Gula,4.9833,100.4333,Mudflat,1,180,Mangrove
Tanjung Dawai,5.6667,100.3833,Mudflat,2,160,Mangrove
Kuala Kedah,6.1,100.3,Sandy-Mud,5,100,Mixed
Kuala Perlis,6.4,100.1333,Mudflat,1,220,Mangrove
Kuala Terengganu,5.3296,103.137,Sandy,8,50,Casuarina
Kemaman,4.2333,103.4167,Sandy,6,60,Coconut
Pengerang,1.3667,104.1167,Rocky,12,40,Mixed
Tanjung Balau,1.6,104.2333,Sandy,10,70,Casuarina
Tanjung Leman,2.5333,103.9667,Mangrove,3,130,Mangrove
Tanjung Sedili,1.9333,104.1333,Sandy,7,60,Casuarina
Pulau Sibu,2.2167,104.0833,Sandy,9,45,Coconut
Pulau Tinggi,2.2833,104.1167,Rocky,20,35,Mixed
Pulau Aur,2.45,104.5167,Cliff,30,25,Mixed
Pulau Pemanggil,2.5833,104.3333,Rocky,18,30,Mixed
Pulau Tengah,2.3167,104.1167,Sandy,5,55,Coconut
Pulau Besar,2.4333,103.9667,Sandy,6,50,Casuarina
Pulau Rawa,2.5167,103.9667,Sandy,8,40,Coconut
Pulau Kapas,5.2167,103.2667,Sandy,7,45,Coconut
Pulau Redang,5.7833,103,Rocky-Sandy,12,30,Mixed
Pulau Lang Tengah,5.8,102.8833,Cliff,22,20,Mixed
Pulau Perhentian,5.9167,102.7333,Sandy,9,35,Coconut
