Location,Latitude,Longitude,Depth_cm,pH,Base_Saturation_pct,Vegetation
Gunung Jerai Summit,5.7833,100.4333,80,4.2,12,Montane Forest
Cameron Highlands,4.4683,101.3767,60,4,15,Tea Plantation
Fraser's Hill,3.71,101.735,70,4.1,14,Mossy Forest
Gunung Tahan Slope,4.6333,102.2333,90,3.9,10,Heath Forest
Kinabalu Park,6.075,116.5583,100,4.3,18,Cloud Forest
Gunung Mulu Plateau,4.05,114.9167,85,4.1,13,Kerangas
Gunung Ledang Summit,2.3733,102.6033,75,4.2,11,Montane
Gunung Belumut Peak,2,103.5667,65,4,14,Heath
Gunung Panti Ridge,1.8333,103.9167,70,4.1,12,Forest
Gunung Rabong Slope,4.6333,101.5667,80,4.2,10,Montane
Gunung Basor Area,5.0833,101.9667,60,4,16,Forest
Gunung Stong Area,5.5333,102.0333,90,3.9,11,Montane
